CourseLink,room_link
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F5
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E5
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A86&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A86&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A82&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A82&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A82&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=INFH
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A82&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG15
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A82&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG15
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A82&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG15
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A67&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185190&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3A
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A85&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A85&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=1832
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A85&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A42&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A42&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ZEMS
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A42&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A42&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A42&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A42&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ZEMS
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185291&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
